country,iso_code,gmm_component_0_probability,gmm_component_1_probability,gmm_component,gmm_max_probability
Malawi,MWI,0.9995153054397593,0.0004846945602406214,0,0.9995153054397593
Malaysia,MYS,0.2904847697701588,0.7095152302298412,1,0.7095152302298412
Maldives,MDV,0.9998934690321393,0.00010653096786070973,0,0.9998934690321393
Mali,MLI,0.9999803156454565,1.968435454315453e-05,0,0.9999803156454565
Malta,MLT,0.007761995271651317,0.9922380047283486,1,0.9922380047283486
Mauritania,MRT,0.9997384178087962,0.0002615821912034664,0,0.9997384178087962
Mauritius,MUS,0.09526650094801917,0.9047334990519814,1,0.9047334990519814
Mexico,MEX,0.8765832514333507,0.12341674856664933,0,0.8765832514333507
Moldova,MDA,0.9752604092175238,0.024739590782476825,0,0.9752604092175238
Mongolia,MNG,0.985223838943882,0.01477616105611773,0,0.985223838943882
Montenegro,MNE,0.9999401563140381,5.984368596121061e-05,0,0.9999401563140381
Morocco,MAR,0.8426348504147231,0.15736514958527695,0,0.8426348504147231
Mozambique,MOZ,0.9929261402870768,0.007073859712923952,0,0.9929261402870768
Myanmar,MMR,0.9925827536793793,0.00741724632062121,0,0.9925827536793793
Namibia,NAM,0.9955077102550187,0.0044922897449809415,0,0.9955077102550187
Nepal,NPL,0.9993531108512056,0.0006468891487948302,0,0.9993531108512056
Netherlands,NLD,0.9786521640699621,0.02134783593003784,0,0.9786521640699621
New Caledonia,NCL,0.1272147464856027,0.8727852535143971,1,0.8727852535143971
New Zealand,NZL,0.9661705811020407,0.03382941889795888,0,0.9661705811020407
Nicaragua,NIC,0.9968795014923718,0.0031204985076278835,0,0.9968795014923718
Niger,NER,0.9999911344286112,8.865571389390058e-06,0,0.9999911344286112
Nigeria,NGA,0.9870437612724251,0.012956238727574542,0,0.9870437612724251
North Korea,PRK,0.2184164123753016,0.781583587624699,1,0.781583587624699
North Macedonia,MKD,0.9961129379338344,0.0038870620661657996,0,0.9961129379338344
Norway,NOR,0.9807891909389226,0.019210809061077392,0,0.9807891909389226
Oman,OMN,0.6552982396138816,0.3447017603861188,0,0.6552982396138816
Pakistan,PAK,0.9017753609505899,0.09822463904941035,0,0.9017753609505899
Palestine,PSE,0.9996588309719768,0.0003411690280229734,0,0.9996588309719768
Panama,PAN,0.7137099047283063,0.2862900952716938,0,0.7137099047283063
Papua New Guinea,PNG,0.9989201796939238,0.0010798203060763331,0,0.9989201796939238
Paraguay,PRY,0.9993119570496546,0.000688042950345334,0,0.9993119570496546
Peru,PER,0.9433867973174047,0.05661320268259533,0,0.9433867973174047
Philippines,PHL,0.0006498789114781018,0.9993501210885222,1,0.9993501210885222
Poland,POL,0.9948965341927491,0.005103465807250823,0,0.9948965341927491
Portugal,PRT,0.8982198125626152,0.10178018743738454,0,0.8982198125626152
Qatar,QAT,0.9879026390998856,0.012097360900114115,0,0.9879026390998856
Romania,ROU,0.9852116942829816,0.014788305717018464,0,0.9852116942829816
Russia,RUS,0.9837862875436078,0.016213712456391843,0,0.9837862875436078
Rwanda,RWA,0.9957576882268714,0.004242311773128671,0,0.9957576882268714
Saint Lucia,LCA,0.9978847306504667,0.002115269349533147,0,0.9978847306504667
Saint Vincent and the Grenadines,VCT,0.9992348563786795,0.0007651436213201478,0,0.9992348563786795
Samoa,WSM,0.9994616103460248,0.0005383896539749768,0,0.9994616103460248
Sao Tome and Principe,STP,0.9993356228179924,0.0006643771820079398,0,0.9993356228179924
