country,iso_code,first_year,last_year,n_years,is_micro_state,fuel_structure_unreliable,cohort_reason
Cuba,CUB,1992,2021,30,False,False,main_cohort
Curacao,CUW,1992,2021,30,False,False,main_cohort
Cyprus,CYP,1992,2021,30,False,False,main_cohort
Czechia,CZE,1992,2021,30,False,False,main_cohort
Democratic Republic of Congo,COD,1992,2021,30,False,False,main_cohort
Denmark,DNK,1992,2021,30,False,False,main_cohort
Djibouti,DJI,1992,2021,30,False,False,main_cohort
Dominica,DMA,1992,2021,30,False,False,main_cohort
Dominican Republic,DOM,1992,2021,30,False,False,main_cohort
East Timor,TLS,1999,2021,23,False,True,incomplete_history
Ecuador,ECU,1992,2021,30,False,False,main_cohort
Egypt,EGY,1992,2021,30,False,False,main_cohort
El Salvador,SLV,1992,2021,30,False,False,main_cohort
Equatorial Guinea,GNQ,1992,2021,30,False,False,main_cohort
Eritrea,ERI,1995,2021,27,False,False,incomplete_history
Estonia,EST,1992,2021,30,False,False,main_cohort
Eswatini,SWZ,1992,2021,30,False,False,main_cohort
Ethiopia,ETH,1992,2021,30,False,False,main_cohort
Faroe Islands,FRO,1992,2021,30,False,False,main_cohort
Fiji,FJI,1992,2021,30,False,False,main_cohort
Finland,FIN,1992,2021,30,False,False,main_cohort
France,FRA,1992,2021,30,False,False,main_cohort
French Polynesia,PYF,1992,2021,30,False,False,main_cohort
Gabon,GAB,1992,2021,30,False,False,main_cohort
Gambia,GMB,1992,2021,30,False,False,main_cohort
Georgia,GEO,1992,2021,30,False,False,main_cohort
Germany,DEU,1992,2021,30,False,False,main_cohort
Ghana,GHA,1992,2021,30,False,False,main_cohort
Greece,GRC,1992,2021,30,False,False,main_cohort
Greenland,GRL,1992,2021,30,False,False,main_cohort
Grenada,GRD,1992,2021,30,False,False,main_cohort
Guatemala,GTM,1992,2021,30,False,False,main_cohort
Guinea,GIN,1992,2021,30,False,False,main_cohort
Guinea-Bissau,GNB,1992,2021,30,False,False,main_cohort
Guyana,GUY,1992,2021,30,False,False,main_cohort
Haiti,HTI,1992,2021,30,False,False,main_cohort
Honduras,HND,1992,2021,30,False,False,main_cohort
Hong Kong,HKG,1992,2021,30,False,False,main_cohort
Hungary,HUN,1992,2021,30,False,False,main_cohort
Iceland,ISL,1992,2021,30,False,False,main_cohort
