country,iso_code,log_recent_per_capita,long_term_log_slope,recent_log_slope,slope_acceleration,growth_volatility_mad,peak_timing,post_peak_change,recent_coal_share,recent_gas_share,coal_share_change,gas_share_change,cluster,PC1,PC2,PC3,PC4
Ecuador,ECU,1.1801922756605325,0.010850296451523253,-0.026193424177402936,-0.03704372062892619,7.914000000000001,0.7586206896551724,-0.21031902323749516,0.0,0.0361466924021758,0.0,0.01242583334999,1,-0.2741983016565511,-0.5675315090317467,-1.0343036490649398,0.9164841868478656
Egypt,EGY,1.19058356720692,0.020112828864570366,0.00015724491560126303,-0.019955583948969104,4.6370000000000005,0.8275862068965517,-0.03441127694859046,0.0368319916025429,0.5203460564966013,-0.0034948744744736984,0.2583496956959774,1,-0.5851936234565827,-1.2703705074974332,1.959363970659556,0.6089938574348287
El Salvador,SLV,0.7114781372446687,0.01209457809607604,0.008157148940873122,-0.0039374291552029175,4.6795,0.9655172413793104,-0.05874439461883398,0.0,0.0,-0.0009643201542912,0.0,1,0.10442949411231893,0.7045530438733397,-0.3348147829438131,0.6995640111241078
Equatorial Guinea,GNQ,1.6154199841116479,0.05829783473964112,-0.053761337316770505,-0.11205917205641162,8.2165,0.41379310344827586,-0.4083346054037551,0.0,0.8258920566612874,0.0,0.8258920566612874,1,-2.202494999911626,-6.817070389612813,5.245887380694415,2.131025809912419
Estonia,EST,2.328350300880072,-0.007099975075185808,-0.07282838672763095,-0.06572841165244514,7.209,0.0,-0.4883203559510568,0.6527323092420046,0.0740367665575422,-0.06850093472582386,0.0072535934206054975,1,-2.0786469659847167,-1.6771560209869614,-2.4220638971995494,-0.3307320392795713
Eswatini,SWZ,0.6086780239334952,-0.006696458716889177,-0.012163613554419628,-0.005467154837530451,5.287,0.2413793103448276,-0.2879965457685664,0.1472708547888774,0.0,-0.2804911848711793,0.0,1,-5.454420098139032,2.0181149100445537,-0.9527854279616755,0.4090090579161979
Ethiopia,ETH,0.13365638481267358,0.043834638837856495,0.057082113949410394,0.0132474751115539,4.9805,0.9655172413793104,-0.02040816326530614,0.1120051496620534,0.0,0.1120051496620534,0.0,0,2.7528480043422463,0.9953844956725325,0.4006933782395323,0.8599457226445502
Faroe Islands,FRO,2.725824629201375,-0.0012058292329799076,0.020097920843069727,0.021303750076049635,3.6734999999999998,0.3103448275862069,-0.06447985606888136,0.0,0.0,0.0,0.0,1,0.036472466568259844,0.9795896154835348,-0.1211261075137553,-0.7778797836786525
Fiji,FJI,0.9489515141137034,0.017205908887806036,0.029898771690312784,0.012692862802506748,10.282499999999999,0.896551724137931,-0.16821561338289967,0.0,0.0,-0.0732758620689655,0.0,1,-1.0498651856755585,1.7244158175238904,-0.12308273296083953,0.8579587076124897
Finland,FIN,2.1618276552777833,-0.01763365998860878,-0.03550834348624919,-0.01787468349764041,5.341,0.3793103448275862,-0.48259649654963216,0.3701448361192653,0.1046604721123753,-0.06426781978940921,-0.0015529395193063095,1,-1.7213546073245913,-0.2884863075278429,-1.4649860142241073,-0.9282425525613204
France,FRA,1.7599247457080365,-0.015409351861358006,-0.023659381699441605,-0.0082500298380836,1.7639999999999998,0.20689655172413793,-0.36189386353883557,0.1032963158822492,0.2850134280001848,-0.0665853291389298,0.09948851511011372,1,-1.9397571386559,-0.47213541204904064,-0.03321257589147107,-1.0176865934006278
French Polynesia,PYF,1.41730841464906,0.010674219236097671,-0.0033060635042008106,-0.013980282740298482,2.2065,0.3793103448275862,-0.07736650485436877,0.0,0.0,0.0,0.0,1,-0.1111038601335016,0.16630018462308244,-0.6047312037834777,0.17432549707564254
Gabon,GAB,1.245018773761937,-0.02944712848318667,-0.01987064009864338,0.00957648838454329,4.643,0.1724137931034483,-0.5341554120180074,0.0,0.3467514124293785,0.0,0.1542295349433006,1,-0.8510006686798041,-0.8601687101311162,0.5752406784448608,-1.6506236528667944
Gambia,GMB,0.24529635595534308,0.01808590316663108,0.03329861426321506,0.015212711096583977,2.7859999999999996,0.9655172413793104,-0.0070921985815600936,0.0,0.0,0.0,0.0,1,0.3657676536207066,1.4313977955194457,0.18230380684392558,0.5865315271160427
Georgia,GEO,1.3174800451195308,0.03990039645214289,0.030595918685832814,-0.009304477766310076,7.338,1.0,0.0,0.0989245129870129,0.5381493506493507,0.03378923988849329,-0.16588331908010312,1,1.2486354569019489,1.0981344792514995,-1.104931895165762,0.7679773697198616
Germany,DEU,2.2492897959358222,-0.011386613010260109,-0.02938153278169729,-0.01799491977143718,2.1290000000000004,0.0,-0.3331087908386662,0.354966711214819,0.2522776423791159,-0.1024925376805993,0.09677748759000648,1,-2.605991681277368,-0.51103845494266,-0.37079506774305915,-1.0039072748756575
Ghana,GHA,0.42199441005937494,0.031003203303630208,0.02905564622016252,-0.0019475570834676867,9.251,1.0,0.0,0.0,0.2545589877186453,-0.0015421899096717,0.2545589877186453,1,-0.11824231036981986,-0.19634611476214248,2.2243788193807146,1.347607846070205
Greece,GRC,1.964731903295901,-0.01369870086739261,-0.04344922399355278,-0.029750523126160167,3.41,0.4827586206896552,-0.4873674059787849,0.2893416623511134,0.1618008803728638,-0.228749742780267,0.1592615698933248,1,-5.178416905443421,-0.30390618969980276,-0.24046439275834,-0.15839355498828805
Greenland,GRL,2.356504934983476,-0.003048017519197187,0.000914416681928824,0.003962434201126011,5.73,0.6206896551724138,-0.16256643236756382,0.0,0.0,0.0,0.0,1,-0.09806871531387648,0.45898177722481126,-0.5277771033910641,-0.3101049849407142
Grenada,GRD,1.297463147413275,0.02570990527975026,0.016337654784723352,-0.009372250495026907,2.179499999999999,0.9655172413793104,-0.03390783064818285,0.0,0.0,0.0,0.0,1,0.17715736236260127,0.6199945206159585,-0.2437200517074869,0.8109292856182132
